Player,Mat
Jos Buttler,17
K L Rahul,15
Quinton De Kock,15
Hardik Pandya,15
Shubman Gill,16
David Miller,16
Faf Du Plessis,16
Shikhar Dhawan,14
Sanju Samson,17
Deepak Hooda,15
Liam Livingstone,14
David Warner,12
Abhishek Sharma,14
Ishan Kishan,14
Rahul Tripathi,14
Shreyas Iyer,14
Tilak Varma,14
Aiden Markram,14
Devdutt Padikkal,17
Ruturaj Gaikwad,14
Nitish Rana,14
Virat Kohli,16
Rishabh Pant,14
Andre Russell,14
Rajat Patidar,8
Dinesh Karthik,16
Wriddhiman Saha,11
Shimron Hetmyer,15
Nicholas Pooran,14
Suryakumar Yadav,8
Glenn Maxwell,13
Shivam Dube,11
Prithvi Shaw,10
Ambati Rayudu,13
Rohit Sharma,14
Yashasvi Jaiswal,10
Jonny Bairstow,11
Devon Conway,7
Mitchell Marsh,8
Rovman Powell,14
Moeen Ali,10
Jitesh Sharma,12
MS Dhoni,14
Robin Uthappa,12
Shahbaz Ahmed,16
Rahul Tewatia,16
Kane Williamson,13
Bhanuka Rajapaksa,9
Mayank Agarwal,13
Ravichandran Ashwin,17
Tim David,8
Riyan Parag,17
Krunal Pandya,14
Axar Patel,13
Venkatesh Iyer,12
Rinku Singh,7
Sam Billings,8
Dewald Brevis,7
Ayush Badoni,13
Lalit Yadav,12
Matthew Wade,10
Marcus Stoinis,11
Sai Sudharsan,5
Kieron Pollard,11
Ajinkya Rahane,7
Anuj Rawat,8
Shardul Thakur,14
Shahrukh Khan,8
Ravindra Jadeja,10
Abhinav Manohar,8
Washington Sundar,9
Rashid Khan,16
Sarfaraz Khan,6
Manish Pandey,6
Mahipal Lomror,7
Aaron Finch,5
Rahul Chahar,13
Evin Lewis,6
Sunil Narine,14
Shashank Singh,10
Suyash S Prabhudessai,5
Pat Cummins,5
Jaydev Unadkat,5
Romario Shepherd,3
Jason Holder,12
Umesh Yadav,12
Odean Smith,6
Kagiso Rabada,13
Kuldeep Yadav,14
Priyam Garg,2
Ramandeep Singh,5
Dwaine Pretorius,6
Dushmantha Chameera,12
Harshal Patel,15
Hrithik Shokeen,5
Trent Boult,16
Jagadeesan Narayan,2
Daniel Sams,11
Wanindu Hasaranga,16
Rishi Dhawan,6
Daryl Mitchell,2
Sherfane Rutherford,3
James Neesham,2
Mohammed Siraj,15
Tim Seifert,2
Bhuvneshwar Kumar,14
Mohsin Khan,9
Dwayne Bravo,10
Sheldon Jackson,5
Avesh Khan,13
Rassie van der Dussen,3
Harpreet Brar,5
Mitchell Santner,6
Arshdeep Singh,14
B Indrajith,3
Manan Vohra,2
Vijay Shankar,4
Mandeep Singh,3
Josh Hazlewood,12
David Willey,4
Karun Nair,3
Simran Singh,1
Anmolpreet Singh,2
Murugan Ashwin,8
Varun Chakaravarthy,11
Chris Jordan,4
Rajangad Bawa,2
Shreyas Gopal,1
Marco Jansen,8
Obed McCoy,7
Srikar Bharat,2
Fabian Allen,1
Sean Abbott,1
Rasikh Salam,2
Kartik Tyagi,2
Maheesh Theekshana,9
Simarjeet Singh,6
Ripal Patel,2
Mukesh Choudhary,13
Prasidh Krishna,17
Aman Khan,1
Lockie Ferguson,13
Alzarri Joseph,9
Yuzvendra Chahal,17
Vaibhav Arora,5
Prerak Mankad,1
Karan Sharma,1
Abdul Samad,2
Abhijeet Tomar,1
Umran Malik,14
Mustafizur Rahman,8
Kumar Kartikeya Singh,4
Shivam Mavi,6
Harshit Rana,2
Navdeep Saini,2
Tristan Stubbs,2
Pradeep Sangwan,3
Fazalhaq Farooqi,3
Jagadeesha Suchith,5
Tim Southee,9
Nathan Coulter-Nile,1
Anrich Nortje,6
